20,,,,,,,,,,,,,,,,,,,
0,0.083,0.088,0.098,0.096,0.103,0.102,0.097,0.106,0.104,0.079,0.087,0.104,0.107,0.096,0.102,0.096,0.107,0.071,0.104
0.083,0,0.046,0.048,0.035,0.039,0.041,0.036,0.042,0.04,0.035,0.034,0.041,0.046,0.046,0.041,0.046,0.051,0.047,0.039
0.088,0.046,0,0.031,0.046,0.047,0.04,0.047,0.045,0.044,0.045,0.05,0.044,0.039,0.037,0.045,0.029,0.034,0.044,0.047
0.098,0.048,0.031,0,0.045,0.044,0.035,0.047,0.041,0.041,0.048,0.052,0.04,0.03,0.032,0.042,0.023,0.022,0.047,0.043
0.096,0.035,0.046,0.045,0,0.021,0.026,0.023,0.029,0.027,0.033,0.049,0.031,0.035,0.036,0.036,0.041,0.043,0.052,0.02
0.103,0.039,0.047,0.044,0.021,0,0.025,0.02,0.021,0.023,0.037,0.052,0.028,0.032,0.038,0.03,0.041,0.041,0.056,0.015
0.102,0.041,0.04,0.035,0.026,0.025,0,0.03,0.03,0.028,0.039,0.054,0.032,0.021,0.027,0.037,0.031,0.031,0.051,0.022
0.097,0.036,0.047,0.047,0.023,0.02,0.03,0,0.028,0.029,0.035,0.049,0.033,0.038,0.04,0.028,0.043,0.046,0.053,0.023
0.106,0.042,0.045,0.041,0.029,0.021,0.03,0.028,0,0.021,0.042,0.048,0.023,0.029,0.044,0.024,0.04,0.037,0.056,0.023
0.104,0.04,0.044,0.041,0.027,0.023,0.028,0.029,0.021,0,0.04,0.049,0.015,0.029,0.042,0.029,0.04,0.038,0.055,0.021
0.079,0.035,0.045,0.048,0.033,0.037,0.039,0.035,0.042,0.04,0,0.047,0.041,0.046,0.043,0.043,0.045,0.051,0.046,0.038
0.087,0.034,0.05,0.052,0.049,0.052,0.054,0.049,0.048,0.049,0.047,0,0.047,0.053,0.058,0.044,0.054,0.055,0.05,0.054
0.104,0.041,0.044,0.04,0.031,0.028,0.032,0.033,0.023,0.015,0.041,0.047,0,0.03,0.045,0.028,0.04,0.038,0.054,0.026
0.107,0.046,0.039,0.03,0.035,0.032,0.021,0.038,0.029,0.029,0.046,0.053,0.03,0,0.032,0.035,0.028,0.022,0.052,0.029
0.096,0.046,0.037,0.032,0.036,0.038,0.027,0.04,0.044,0.042,0.043,0.058,0.045,0.032,0,0.048,0.024,0.029,0.049,0.037
0.102,0.041,0.045,0.042,0.036,0.03,0.037,0.028,0.024,0.029,0.043,0.044,0.028,0.035,0.048,0,0.043,0.041,0.054,0.032
0.096,0.046,0.029,0.023,0.041,0.041,0.031,0.043,0.04,0.04,0.045,0.054,0.04,0.028,0.024,0.043,0,0.022,0.046,0.04
0.107,0.051,0.034,0.022,0.043,0.041,0.031,0.046,0.037,0.038,0.051,0.055,0.038,0.022,0.029,0.041,0.022,0,0.053,0.04
0.071,0.047,0.044,0.047,0.052,0.056,0.051,0.053,0.056,0.055,0.046,0.05,0.054,0.052,0.049,0.054,0.046,0.053,0,0.057
0.104,0.039,0.047,0.043,0.02,0.015,0.022,0.023,0.023,0.021,0.038,0.054,0.026,0.029,0.037,0.032,0.04,0.04,0.057,0
